Year,State,Utility Name,Type,Residential,Commercial,Industrial,Total
2015,VA,A & N Electric Coop,AC,0.054,0.14, ,0.194
2015,IL,Adams Electric Coop,AC,0.006, , ,0.006
2015,WI,Adams-Columbia Electric Coop,AC,0.316,0.06, ,0.376
2015,MN,Agralite Electric Coop,AC,0.047, , ,0.047
2015,SC,Aiken Electric Coop Inc,AC,0.107,0.018, ,0.125
2015,AZ,Ajo Improvement Co,AC, ,0.033, ,0.033
2015,AL,Alabama Power Co,AC,0.283,0.216,0.04,0.539
2015,FL,City of Alachua - (FL),AC,0.018,0.039, ,0.057
2015,CA,City of Alameda,AC,1.04,1.79, ,2.83
2015,AK,Alaska Power and Telephone Co,AC,0.012,0.011, ,0.023
2015,NC,Albemarle Electric Member Corp,AC, , , ,0
2015,OK,"Alfalfa Electric Coop, Inc",AC, , , ,0
2015,MI,Alger-Delta Coop Electric Assn,AC,0.108,0.003,0,0.111
2015,WI,Algoma Utility Comm,AC, ,0.009,0,0.009
2015,IA,"Allamakee-Clayton El Coop, Inc",AC,0.529,0.036, ,0.565
2015,NE,City of Alliance- (NE),AC,0.02, , ,0.02
2015,MI,Alpena Power Co,AC, ,0.01, ,0.01
2015,GA,Altamaha Electric Member Corp,AC,0.034, , ,0.034
2015,IA,City of Ames - (IA),AC,0.014,0.004, ,0.018
2015,GA,Amicalola Electric Member Corp,AC,0.113,0.163, ,0.276
2015,CA,City of Anaheim - (CA),AC,8.4,6.4,0,14.8
2015,AK,Anchorage Municipal Light and Power,AC,0.026,0.041, ,0.067
2015,IN,City of Anderson - (IN),AC,0.005, , ,0.005
2015,MN,Connexus Energy,AC,0.167, , ,0.167
2015,MN,City of Anoka,AC,0.008, , ,0.008
2015,CA,Anza Electric Coop Inc,AC,0.194,0.695, ,0.889
2015,NC,Town of Apex- (NC),AC,0.097, , ,0.097
2015,VA,Appalachian Power Co,AC,2.511,2.357,0.083,4.951
2015,WV,Appalachian Power Co,AC,0.326,0.3,0.005,0.631
2015,AZ,Arizona Public Service Co,AC,237.6,203.87, ,441.47
2015,AR,Entergy Arkansas Inc,AC,0.7,0.23, ,0.93
2015,AR,Arkansas Valley Elec Coop Corp,AC,0.118,0.017, ,0.135
2015,MN,"Arrowhead Electric Coop, Inc",AC,0.001,0.001, ,0.002
2015,IA,Atchison-Holt Electric Coop,AC,0.023, , ,0.023
